obs             ccd         gain    RDnoise     dark    pixelscale  fov
7DT             C3-61000    0.8   0.0         0.0     0.505       81.4
7DT00           C3-61000    0.8   0.0         0.0     0.505       81.4

7DT01           C3-61000    0.8   0.0         0.0     0.505       81.4
7DT02           C3-61000    0.8   0.0         0.0     0.505       81.4
7DT03           C3-61000    0.8   0.0         0.0     0.505       81.4
7DT04           C3-61000    0.8   0.0         0.0     0.505       81.4
7DT05           C3-61000    0.8   0.0         0.0     0.505       81.4

7DT06           C3-61000    0.8   0.0         0.0     0.505       81.4
7DT07           C3-61000    0.8   0.0         0.0     0.505       81.4
7DT08           C3-61000    0.8   0.0         0.0     0.505       81.4
7DT09           C3-61000    0.8   0.0         0.0     0.505       81.4
7DT10           C3-61000    0.8   0.0         0.0     0.505       81.4

7DT11           C3-61000    0.8   0.0         0.0     0.505       81.4
7DT12           C3-61000    0.8   0.0         0.0     0.505       81.4
