number	mktype	m425	eff_wavelength_m425	m475	eff_wavelength_m475	m525	eff_wavelength_m525	m575	eff_wavelength_m575	m625	eff_wavelength_m625	m675	eff_wavelength_m675	m725	eff_wavelength_m725	m775	eff_wavelength_m775	m825	eff_wavelength_m825	m875	eff_wavelength_m875	m925	eff_wavelength_m925	m975	eff_wavelength_m975	m1025	eff_wavelength_m1025	B	eff_wavelength_B	V	eff_wavelength_V	g	eff_wavelength_g	r	eff_wavelength_r	i	eff_wavelength_i	n6780	eff_wavelength_n6780	n6830	eff_wavelength_n6830
1	O5	-28.86297983073884	4257.7433205540165	-28.751358764375553	4755.646409923665	-28.642422052639013	5255.022260503111	-28.547950762637985	5748.635732582142	-28.46261822240397	6249.486110949354	-28.420879968004186	6759.434908824179	-28.34265020715552	7259.556406302323	-28.283939228305762	7752.821747940547	-28.252245455274757	8251.095420142767	-28.238389816754598	8762.201215194538	-28.202901886033118	9266.405410354084	-28.13879812291084	9758.19622894132	-28.02877574196537	10263.121445458055	-28.82971496065442	4442.247987847948	-28.598836069161923	5536.148092775338	-28.775030099936952	4726.112380694397	-28.486482038244638	6197.686507530391	-28.31698887603991	7523.852129426542	-28.41678566694796	6783.502010948252	-28.418184102898664	6832.973429309854
2	O8F	-28.856260120784	4257.7433205540165	-28.757123259405503	4755.646409923665	-28.63112508713919	5255.022260503111	-28.563608496743527	5748.635732582142	-28.489706729163306	6249.486110949354	-28.435585674367985	6759.434908824179	-28.342292220782014	7259.556406302323	-28.277160519365097	7752.821747940547	-28.240966638817227	8251.095420142767	-28.194592029287495	8762.201215194538	-28.129533829313388	9266.405410354084	-28.101251634139754	9758.19622894132	-27.9747009531097	10263.121445458055	-28.817185540772844	4442.247987847948	-28.600210758417262	5536.148092775338	-28.767434388715497	4726.112380694397	-28.50857610767028	6197.686507530391	-28.31489546140077	7523.852129426542	-28.422125285097092	6783.502010948252	-28.4175434239306	6832.973429309854
3	O6	-28.85165526602828	4257.7433205540165	-28.744464597634305	4755.646409923665	-28.636352783960103	5255.022260503111	-28.55400885642945	5748.635732582142	-28.486955996069163	6249.486110949354	-28.41023004569976	6759.434908824179	-28.340782444526095	7259.556406302323	-28.282756095583522	7752.821747940547	-28.240825933085375	8251.095420142767	-28.17056770839546	8762.201215194538	-28.126339683059733	9266.405410354084	-28.09152495787469	9758.19622894132	-27.96681647381597	10263.121445458055	-28.80695020911325	4442.247987847948	-28.599570497975257	5536.148092775338	-28.76159274625934	4726.112380694397	-28.49562924806083	6197.686507530391	-28.318234665778512	7523.852129426542	-28.405242192460666	6783.502010948252	-28.400689804865657	6832.973429309854
4	B1V	-28.79317005877858	4257.7433205540165	-28.70635372951383	4755.646409923665	-28.628933144504927	5255.022260503111	-28.564787125159352	5748.635732582142	-28.52736000914743	6249.486110949354	-28.473744309612186	6759.434908824179	-28.411049169097915	7259.556406302323	-28.368324490535407	7752.821747940547	-28.337654966768685	8251.095420142767	-28.32075486293286	8762.201215194538	-28.294749766690263	9266.405410354084	-28.30194983393596	9758.19622894132	-28.28538814967922	10263.121445458055	-28.757828145473866	4442.247987847948	-28.60081852978984	5536.148092775338	-28.722338860524786	4726.112380694397	-28.52656197240647	6197.686507530391	-28.395652307921367	7523.852129426542	-28.486337234090175	6783.502010948252	-28.526418539186395	6832.973429309854
5	B1V	-28.795120879478638	4257.7433205540165	-28.72983153438851	4755.646409923665	-28.63990384840686	5255.022260503111	-28.549128577071322	5748.635732582142	-28.499950445904435	6249.486110949354	-28.44968652156904	6759.434908824179	-28.37460053546827	7259.556406302323	-28.322587618985537	7752.821747940547	-28.28228405327296	8251.095420142767	-28.242696009009236	8762.201215194538	-28.227778115307892	9266.405410354084	-28.196410976608806	9758.19622894132	-28.08588068443809	10263.121445458055	-28.76310735250553	4442.247987847948	-28.59955838460289	5536.148092775338	-28.735489837378626	4726.112380694397	-28.510910927491608	6197.686507530391	-28.35245381672932	7523.852129426542	-28.430862616983138	6783.502010948252	-28.431684876979197	6832.973429309854
6	B2V	-28.77945777983545	4257.7433205540165	-28.706448382648237	4755.646409923665	-28.630297295472843	5255.022260503111	-28.572471009934866	5748.635732582142	-28.51633255933119	6249.486110949354	-28.44326378557333	6759.434908824179	-28.403233923798506	7259.556406302323	-28.300729311046638	7752.821747940547	-28.268882212835354	8251.095420142767	-28.267335455423304	8762.201215194538	-28.201064101198263	9266.405410354084	-28.205568870158512	9758.19622894132	-28.161967428240526	10263.121445458055	-28.741189782763538	4442.247987847948	-28.601094936973976	5536.148092775338	-28.716366968239768	4726.112380694397	-28.52292738265913	6197.686507530391	-28.361118985661417	7523.852129426542	-28.433736503044173	6783.502010948252	-28.44509735510333	6832.973429309854
7	B3V	-28.736158083992002	4257.7433205540165	-28.67386594724664	4755.646409923665	-28.618960034268348	5255.022260503111	-28.587558065305835	5748.635732582142	-28.54254637217599	6249.486110949354	-28.498727605298804	6759.434908824179	-28.457685884714166	7259.556406302323	-28.42306649835368	7752.821747940547	-28.421346362513734	8251.095420142767	-28.415551212271136	8762.201215194538	-28.413088461531885	9266.405410354084	-28.406340597138026	9758.19622894132	-28.363673768753507	10263.121445458055	-28.699026649872643	4442.247987847948	-28.60228150303182	5536.148092775338	-28.68274748251492	4726.112380694397	-28.548123830721423	6197.686507530391	-28.449391833211635	7523.852129426542	-28.513445602707137	6783.502010948252	-28.54385209465987	6832.973429309854
8	B3V	-28.731962327555177	4257.7433205540165	-28.688411139112915	4755.646409923665	-28.624087738153165	5255.022260503111	-28.578360207129307	5748.635732582142	-28.53747102679533	6249.486110949354	-28.486311302970016	6759.434908824179	-28.462508538315916	7259.556406302323	-28.382798563669787	7752.821747940547	-28.35917018183644	8251.095420142767	-28.384959185753015	8762.201215194538	-28.351879689963294	9266.405410354084	-28.33816916397998	9758.19622894132	-28.27768680822059	10263.121445458055	-28.7001898069807	4442.247987847948	-28.601822656924256	5536.148092775338	-28.68888841873143	4726.112380694397	-28.541698576339623	6197.686507530391	-28.428436174795998	7523.852129426542	-28.484835558915545	6783.502010948252	-28.486955919692043	6832.973429309854
9	B4V	-28.72394750949729	4257.7433205540165	-28.680747024345273	4755.646409923665	-28.63324781207535	5255.022260503111	-28.55993922221879	5748.635732582142	-28.53287961740743	6249.486110949354	-28.460249095561736	6759.434908824179	-28.42769661413068	7259.556406302323	-28.384366394728215	7752.821747940547	-28.33105439563775	8251.095420142767	-28.35820929274862	8762.201215194538	-28.315831189554448	9266.405410354084	-28.32888131005161	9758.19622894132	-28.22124195836171	10263.121445458055	-28.69178560103545	4442.247987847948	-28.600689641100743	5536.148092775338	-28.685662915413413	4726.112380694397	-28.52856467020998	6197.686507530391	-28.406240701962048	7523.852129426542	-28.46034643197267	6783.502010948252	-28.466813446211706	6832.973429309854
10	A1V	-28.66622993679709	4257.7433205540165	-28.64447948906182	4755.646409923665	-28.62140073008197	5255.022260503111	-28.580427834455836	5748.635732582142	-28.564087752085364	6249.486110949354	-28.522257395299597	6759.434908824179	-28.47865863201602	7259.556406302323	-28.463187491306854	7752.821747940547	-28.45463562996684	8251.095420142767	-28.476785647235843	8762.201215194538	-28.412820854921254	9266.405410354084	-28.44125723618938	9758.19622894132	-28.382061404087388	10263.121445458055	-28.637305561231425	4442.247987847948	-28.602407775143874	5536.148092775338	-28.64531844748687	4726.112380694397	-28.562558309917417	6197.686507530391	-28.472118197436433	7523.852129426542	-28.53658158680853	6783.502010948252	-28.541814546616443	6832.973429309854
